formula,synonym,description
Rh(NO3)3,Rhodium(III) nitrate,"Rhodium(III) nitrate is a inorganic compound, a salt of rhodium and nitric acid with the formula Rh(NO3)3. This anhydrous complex has been the subject of theoretical analysis but has not been isolated. However, a dihydrate and an aqueous solution are known with similar stoichiometry; they contain various hexacoordinated rhodium(III) aqua and nitrate complexes. A number of other rhodium nitrates have been characterized by X-ray crystallography: Rb4[trans-[Rh(H2O)2(NO3)4][Rh(NO3)6] and Cs2[-[Rh(NO3)5].  Rhodium nitrates are of interest because nuclear wastes, which contain rhodium, are recycled by dissolution in nitric acid.
"
Rh2O3,Rhodium(III) oxide,"Rhodium(III) oxide (or Rhodium sesquioxide) is the inorganic compound with the formula Rh2O3. It is a gray solid that is insoluble in ordinary solvents.
"
Rh2(SO4)6,Rhodium(III) sulfate,"Rhodium(III) sulfate refers to inorganic compounds of the formula Rh2(SO4)3. It is a red crystalline solid.
"
Rh2S3,Rhodium(III) sulfide,"Rhodium(III) sulfide is the inorganic compound with the formula Rh2S3.  It is an insoluble black solid, prepared by the heating a mixture of elemental rhodium and sulfur.  Crystals can be grown by chemical vapor transport using bromine as the transporting agent.  The structure consists of octahedral and tetrahedral Rh and S centers, respectively.  No close Rh-Rh contacts are observed.  Rh2Se3 and Ir2S3 adopt the same structure as Rh2S3.
"
RhF4,Rhodium(IV) fluoride,"Rhodium(IV) fluoride is a chemical compound of rhodium and fluorine. It is formed when rhodium(III) bromide reacts with bromine trifluoride. Iridium(IV) fluoride, palladium(IV) fluoride and platinum(IV) fluoride have the same crystal structure.
"
RhO2,Rhodium(IV) oxide,"Rhodium(IV) oxide (or rhodium dioxide) is the chemical compound with the formula RhO2.
"
RaCl2,Radium chloride,"Radium chloride is an inorganic compound with the chemical formula RaCl2. It is a radium salt of hydrogen chloride. It was the first radium compound isolated in a pure state. Marie Curie and André-Louis Debierne used it in their original separation of radium from barium. The first preparation of radium metal was by the electrolysis of a solution of this salt using a mercury cathode.
"
RbClO4,rubidium perchlorate,"Rubidium perchlorate, RbClO4, is the perchlorate of rubidium. It is an oxidizing agent, as are all perchlorates.
"
RaCO3,Radium carbonate,"Radium carbonate is a chemical compound of radium, carbon, and oxygen, having the chemical formula RaCO3. It is the radium salt of carbonic acid. It contains radium cations (Ra2+) and carbonate anions (CO2−3). This salt is a highly radioactive, amorphous, white powder that has potential applications in medicine. It is notable for forming disordered crystals at room temperature and for being approximately 10 times more soluble than the corresponding barium carbonate - witherite. Radium carbonate is one of a few radium compounds which has significantly different properties from corresponding barium compounds. Moreover, radium is the only alkaline-earth metal which forms disordered crystals in its carbonate phase. Even though radium carbonate has very low solubility in water, it is soluble in dilute mineral acids and concentrated ammonium carbonate.
"
RbNO3,Rubidium nitrate,"Rubidium nitrate is an inorganic compound with the formula RbNO3.  This alkali metal nitrate salt is white and highly soluble in water.
"
RbClO2,rubidium chlorite,NO DESCRIPTION
RbHSO4,Rubidium hydrogen sulfate,"Rubidium hydrogen sulfate, sometimes referred to as rubidium bisulfate, is the half neutralized rubidium salt of sulfuric acid. It has the formula RbHSO4.
"
RbCl,rubidium chloride,"Rubidium chloride is the chemical compound with the formula RbCl. This alkali metal halide salt is composed of rubidium and chlorine, and finds diverse uses ranging from electrochemistry to molecular biology.
"
RbBrO4,rubidium perbromate,NO DESCRIPTION
RbBrO3,rubidium bromate,NO DESCRIPTION
RbBrO2,rubidium bromite,NO DESCRIPTION
RbBrO,rubidium hypobromite,NO DESCRIPTION
RbBr,rubidium bromide,"Rubidium bromide is an inorganic compound with the chemical formula RbBr. It is a salt of hydrogen bromide. It consists of bromide anions Br− and rubidium cations Rb+. It has a NaCl crystal structure, with a lattice constant of 685 picometres.
"
RaCl2,radium chloride,"Radium chloride is an inorganic compound with the chemical formula RaCl2. It is a radium salt of hydrogen chloride. It was the first radium compound isolated in a pure state. Marie Curie and André-Louis Debierne used it in their original separation of radium from barium. The first preparation of radium metal was by the electrolysis of a solution of this salt using a mercury cathode.
"
RuF6,ruthenium hexafluoride,"Ruthenium hexafluoride, also ruthenium(VI) fluoride (RuF6), is a compound of ruthenium and fluorine and one of the seventeen known binary hexafluorides.
"
RuO2,Ruthenium(IV) oxide,"Ruthenium(IV) oxide is the inorganic compound with the formula RuO2.  This black solid is the most common oxide of ruthenium.  It is widely used as an electrocatalyst for producing chlorine, chlorine oxides, and O2. Like many dioxides, RuO2 adopts the rutile structure.
"
RuCl3,Ruthenium(III) chloride,"Ruthenium(III) chloride is the chemical compound with the formula RuCl3. ""Ruthenium(III) chloride"" more commonly refers to the hydrate RuCl3·xH2O. Both the anhydrous and hydrated species are dark brown or black solids. The hydrate, with a varying proportion of water of crystallization, often approximating to a trihydrate, is a commonly used starting material in ruthenium chemistry.
"
RuO4,Ruthenium tetroxide,"Ruthenium tetroxide is the inorganic compound with the formula RuO4. It is a yellow volatile solid that melts near room temperature. It has the odor of ozone. Samples are typically black due to impurities. The analogous OsO4 is more widely used and better known. It is also the anhydride of hyperruthenic acid (H2RuO5). One of the few solvents in which RuO4 forms stable solutions is CCl4.
"
RuF5,Ruthenium pentafluoride,"Ruthenium pentafluoride is the inorganic compound with the empirical formula RuF5. This green volatile solid has rarely been studied but is of interest as a binary fluoride of ruthenium, i.e. a compound containing only Ru and F. It is sensitive toward hydrolysis.  Its structure consists of Ru4F20 tetramers, as seen in the isostructural platinum pentafluoride.  Within the tetramers, each Ru adopts octahedral molecular geometry, with two bridging fluoride ligands.
"
RuF6,Ruthenium hexafluoride,"Ruthenium hexafluoride, also ruthenium(VI) fluoride (RuF6), is a compound of ruthenium and fluorine and one of the seventeen known binary hexafluorides.
"
Rb2Te,Rubidium telluride,"Rubidium telluride is the inorganic compound with the formula Rb2Te.  It is a yellow-green powder that melts at either 775 °C or 880 °C (two different values have been reported).  It is an obscure material of minor academic interest.
"
Rb2O,Rubidium oxide,"Rubidium oxide is the chemical compound with the formula Rb2O. Rubidium oxide is highly reactive towards water, and therefore it would not be expected to occur naturally.  The rubidium content in minerals is often calculated and quoted in terms of Rb2O.  In reality, the rubidium is typically present as a component of (actually, an impurity in) silicate or aluminosilicate.  A major source of rubidium is lepidolite, KLi2Al(Al,Si)3O10(F,OH)2, wherein Rb sometimes replaces K.
"
RaBr2,Radium bromide,"Radium bromide is the bromide salt of radium, with the formula RaBr2. It is produced during the process of separating radium from uranium ore. This inorganic compound was discovered by Pierre and Marie Curie in 1898, and the discovery sparked a huge interest in radiochemistry and radiotherapy. Since elemental radium oxidizes readily in air and water, radium salts are the preferred chemical form of radium to work with. Even though it is more stable than elemental radium, radium bromide is still extremely toxic, and can explode under certain conditions.
"
RuO4,ruthenium tetroxide,"Ruthenium tetroxide is the inorganic compound with the formula RuO4. It is a yellow volatile solid that melts near room temperature. It has the odor of ozone. Samples are typically black due to impurities. The analogous OsO4 is more widely used and better known. It is also the anhydride of hyperruthenic acid (H2RuO5). One of the few solvents in which RuO4 forms stable solutions is CCl4.
"
Rh6(CO)16,Hexadecacarbonylhexarhodium,"Hexadecacarbonylhexarhodium is a metal carbonyl cluster with the formula Rh6(CO)16. It exists as purple-brown crystals that are slightly soluble in dichloromethane and chloroform.  It is the principal binary carbonyl of rhodium. 
"
ReCl5,Rhenium(V) chloride,"Rhenium pentachloride is an inorganic compound of chlorine and rhenium.  The compound has the formula Re2Cl10 but it is usually referred to as rhenium pentachloride. It is a red-brown  solid.
"
RhCl3,Rhodium(III) chloride,"Rhodium(III) chloride refers to inorganic compounds with the formula RhCl3(H2O)n, where n varies from 0 to 3. These are diamagnetic solids featuring octahedral Rh(III) centres.  Depending on the value of n, the material is either a dense brown solid or a soluble reddish salt. The soluble trihydrated (n = 3) salt is widely used to prepare compounds used in homogeneous catalysis, notably for the industrial production of acetic acid and hydroformylation.
"
RuCl3,Ruthenium(III) chloride,"Ruthenium(III) chloride is the chemical compound with the formula RuCl3. ""Ruthenium(III) chloride"" more commonly refers to the hydrate RuCl3·xH2O. Both the anhydrous and hydrated species are dark brown or black solids. The hydrate, with a varying proportion of water of crystallization, often approximating to a trihydrate, is a commonly used starting material in ruthenium chemistry.
"
ReCl3,Rhenium(III) chloride,"Trirhenium nonachloride is a compound with the formula ReCl3, sometimes also written Re3Cl9.  It is a dark red hygroscopic solid that is insoluble in ordinary solvents.  The compound is important in the history of inorganic chemistry as an early example of a cluster compound with metal-metal bonds.  It is used as a starting material for synthesis of other rhenium complexes.
"
RaCl2,Radium chloride,"Radium chloride is an inorganic compound with the chemical formula RaCl2. It is a radium salt of hydrogen chloride. It was the first radium compound isolated in a pure state. Marie Curie and André-Louis Debierne used it in their original separation of radium from barium. The first preparation of radium metal was by the electrolysis of a solution of this salt using a mercury cathode.
"
S2F10,Disulfur decafluoride,"Disulfur decafluoride is a chemical compound with the formula S2F10. It was discovered in 1934 by Denbigh and Whytlaw-Gray. Each sulfur atom of the S2F10 molecule is octahedral, and surrounded by five fluorine atoms and one sulfur atom. The two sulfur atoms are connected by a single bond. In the S2F10 molecule, the oxidation state of each sulfur atoms is +5, but their valency is 6 (they are hexavalent). S2F10 is highly toxic, with toxicity four times that of phosgene. 
"
SbCl5,Antimony pentachloride,"Antimony pentachloride is a chemical compound with the formula SbCl5. It is a colourless oil, but typical samples are yellowish due to dissolved chlorine. Owing to its tendency to hydrolyse to hydrochloric acid, SbCl5 is a highly corrosive substance and must be stored in glass or PTFE containers.
"
SbF5,Antimony pentafluoride,"Antimony pentafluoride is the inorganic compound with the formula SbF5. This colourless, viscous liquid is a strong Lewis acid and a component of the superacid fluoroantimonic acid, formed upon mixing liquid HF with liquid SbF5 in 1:1 ratio. It is notable for its strong Lewis acidity and the ability to react with almost all known compounds.
"
Sb2(SO4)3,Antimony sulfate,"Antimony sulfate, Sb2(SO4)3, is a hygroscopic salt formed by reacting antimony or its compounds with hot sulfuric acid.  It is used in doping of semiconductors and in the production of explosives and fireworks.
"
